ID;txt
47-P8_1;por mi nomina
51-P8_1;dan mejor interes y rendimientos en inversion
99-P8_1;por la cuenta de nomina
108-P8_1;pago por nomina
112-P8_1;tengo sucursales cerca de mi hogar y su app funciona muy bien
115-P8_1;se le hace mas facil tener su cuenta de ahorro
121-P8_1;solo para tener los beneficios en algun momento dado del banco
125-P8_1;me cambie por las promociones para conciertos
126-P8_1;por la atencion me ha gustado la atencion en sucursal y hay muchos cajeros
134-P8_1;la empresa donde trabajo trabaja con ese banco
145-P8_1;porque ahi salio mi primera tarjeta de nomina
153-P8_1;servicio y atencion le gusta atencion personalizada y publicidad
155-P8_1;atencion personalizada ejecutivos
159-P8_1;es mas facil conseguir la tarjeta
162-P8_1;apertura de cuenta de nomina de cheque
166-P8_1;por nomina
170-P8_1;porque hay cajeros en todos lados no como en otros bancos
178-P8_1;por mi pago de nomina
193-P8_1;por el trabajo
208-P8_1;mandan dinero ahi me depositan
210-P8_1;por pension de su marido
229-P8_1;es buen banco
243-P8_1;por el trato que tiene el banco con el cliente a diferencia de otros bancos te soluciona mas rapido no te da tantas vueltas
268-P8_1;porque tengo cuenta de ahorro y nomina me depositan mi nomina
284-P8_1;porque ahi le llega su nomina
308-P8_1;por mi empleo
313-P8_1;saco su cuenta de debito para hacer los pagos de su universidad
349-P8_1;porque ahi me ofrecieron la tarjeta empresarial y ahi tengo unas cuentas tambien
357-P8_1;porque me quede con la tarjeta de nomina
398-P8_1;porque esta cerca de su casa
416-P8_1;por trabajo y facilidad encuentro mas bancos mas sucursales
425-P8_1;porque me gusta el manejo de la cuenta
443-P8_1;siempre me ha gustado su ubicacion y la atencion del personal
446-P8_1;por transferencia de dinero del trabajo
455-P8_1;empresa lo ocupa para depositarle
471-P8_1;porque se lo exigia la empresa donde trabaja
482-P8_1;la afore me hizo la propuesta de elegir citibanamex y me cambie
499-P8_1;las promociones de los conciertos meses sin intereses
505-P8_1;nomina
507-P8_1;por el trabajo me pagan la nomina ahi
522-P8_1;porque es mas facil hacer transferencias o de ahorrar
528-P8_1;pago de nomina cuenta nomina
534-P8_1;era la tarjeta mas facil de sacar
536-P8_1;por la afore
538-P8_1;tengo una tarjeta de credito sin anualidad con ellos
598-P8_1;yo recibo muchas transferencias se me saturan las otras tarjetas
641-P8_1;tarjeta de nomina
642-P8_1;nomina
653-P8_1;nomina
658-P8_1;por la atencion y los beneficios que brindan
674-P8_1;por la del oxxo para recibir mis depositos
685-P8_1;por nomina
686-P8_1;tengo cuenta de perfiles
717-P8_1;fue por un trabajo y me solicitaron la tarjeta de citibanamex
721-P8_1;por la nomina
732-P8_1;nomina que recibo
735-P8_1;por sus prestaciones no cobran tanto de mas estan muy buenas atienden rapido
742-P8_1;entro a trabajar en la empresa y le dieron cuenta de nomina
748-P8_1;la nomina
757-P8_1;la hipoteca
759-P8_1;pues mi historial crediticio
771-P8_1;la comodidad y la cercania de la sucursal
786-P8_1;su empresa eligio tener la nomina con ese banco
801-P8_1;me da seguridad
810-P8_1;tengo mi nomina credito me han dado oportunidades
817-P8_1;por que tiene muchos cajeros en la ciudad es facil sacar efectivo
820-P8_1;siempre esta disponible
822-P8_1;por convenio con la empresa de trabajo
830-P8_1;me gusta el banco y su eficiencia
841-P8_1;la empresa esta asociada con banamex
842-P8_1;tengo inversion a plazos fijos
861-P8_1;el servicio la atencion al cliente desde que llegas a sucursal cajeros o via telefonica
923-P8_1;por nomina
926-P8_1;no he tenido problemas
946-P8_1;es buen banco esta bien
952-P8_1;porque se la aceptan en cualquier tienda en la mayoria de las veces
961-P8_1;por nomina
965-P8_1;por las promociones preventas puntos
972-P8_1;por comodidad me abrieron la cuenta cuando era nino y no tuve interes por abrir otra.
973-P8_1;por los intereses bajos que no me cobran manejo de cuenta
983-P8_1;por traspaso de cuenta de scotiabank a citibanamex tengo problemas con scotiabank para hacer pagos a banamex porque un familiar tiene cuentas ahi
